frame,time,backbone,pair_sidechains
610,61.0000,0.9339,0.7582
611,61.1000,0.9354,0.8061
612,61.2000,0.9310,0.8257
613,61.3000,0.9382,0.8541
614,61.4000,0.9582,0.9541
615,61.5000,0.9673,0.8678
616,61.6000,0.9675,0.7723
617,61.7000,0.9719,0.6804
618,61.8000,0.9844,0.6834
619,61.9000,0.9835,0.6851
620,62.0000,0.9567,0.5492
621,62.1000,0.9429,0.5611
622,62.2000,0.9432,0.6334
623,62.3000,0.9401,0.6569
624,62.4000,0.9438,0.5946
625,62.5000,0.9508,0.6113
626,62.6000,0.9443,0.6393
627,62.7000,0.9486,0.8079
628,62.8000,0.9570,0.6661
629,62.9000,0.9590,0.7667
630,63.0000,0.9544,0.7326
631,63.1000,0.9561,0.6133
632,63.2000,0.9571,0.7372
633,63.3000,0.9739,0.8362
634,63.4000,0.9681,0.9090
635,63.5000,0.9644,0.8517
636,63.6000,0.9721,0.6784
637,63.7000,0.9752,0.7492
638,63.8000,0.9742,0.8446
639,63.9000,0.9763,0.7355
640,64.0000,0.9853,0.8229
641,64.1000,0.9823,0.8785
642,64.2000,0.9787,0.8003
643,64.3000,0.9712,0.7162
644,64.4000,0.9610,0.8432
645,64.5000,0.9576,0.8705
646,64.6000,0.9596,0.8580
647,64.7000,0.9565,0.7693
648,64.8000,0.9467,0.7976
649,64.9000,0.9334,0.7222
650,65.0000,0.9287,0.5905
651,65.1000,0.9306,0.5936
652,65.2000,0.9399,0.7045
653,65.3000,0.9438,0.7166
654,65.4000,0.9343,0.8570
655,65.5000,0.9324,0.9339
656,65.6000,0.9362,0.6489
657,65.7000,0.9347,0.6430
658,65.8000,0.9328,0.6763
659,65.9000,0.9414,0.4743
660,66.0000,0.9420,0.5017
661,66.1000,0.9483,0.5676
662,66.2000,0.9523,0.6674
663,66.3000,0.9630,0.7075
664,66.4000,0.9714,0.8845
665,66.5000,0.9705,0.8603
666,66.6000,0.9758,0.8924
667,66.7000,0.9724,0.8754
668,66.8000,0.9681,0.8091
669,66.9000,0.9686,0.7795
670,67.0000,0.9653,0.8169
671,67.1000,0.9582,0.8642
672,67.2000,0.9557,0.8059
673,67.3000,0.9592,0.6984
674,67.4000,0.9659,0.7346
675,67.5000,0.9594,0.7575
676,67.6000,0.9564,0.7487
677,67.7000,0.9468,0.7789
678,67.8000,0.9522,0.8761
679,67.9000,0.9526,0.8221
680,68.0000,0.9483,0.8776
681,68.1000,0.9510,1.0639
682,68.2000,0.9403,0.9584
683,68.3000,0.9387,0.8020
684,68.4000,0.9367,0.7959
685,68.5000,0.9374,0.8228
686,68.6000,0.9337,0.8675
687,68.7000,0.9388,0.9148
688,68.8000,0.9347,0.9011
689,68.9000,0.9389,0.8304
690,69.0000,0.9391,0.8742
691,69.1000,0.9393,1.0054
692,69.2000,0.9346,0.8956
693,69.3000,0.9395,0.9194
694,69.4000,0.9488,0.8873
695,69.5000,0.9433,0.8768
696,69.6000,0.9450,0.8170
697,69.7000,0.9434,0.8735
698,69.8000,0.9421,0.8588
699,69.9000,0.9348,0.8941
