frame,time,a_Ow_H2_OD2,a_Ow_HH12_OD2
619,61.9000,153.0087,61.3988
620,62.0000,138.8192,89.1702
621,62.1000,169.7145,58.9688
622,62.2000,128.3405,88.4655
623,62.3000,136.4667,71.6332
624,62.4000,160.1092,58.0079
625,62.5000,154.4756,70.2323
626,62.6000,175.9025,58.5346
627,62.7000,146.4844,72.6612
628,62.8000,149.4395,76.9880
629,62.9000,172.7742,58.1565
630,63.0000,169.6095,58.6653
631,63.1000,141.6945,81.5026
632,63.2000,145.2765,65.9795
633,63.3000,169.6075,58.5784
634,63.4000,162.7110,62.1074
635,63.5000,154.8800,65.5202
636,63.6000,155.0156,74.7720
637,63.7000,149.8559,62.4688
638,63.8000,158.1190,77.3581
639,63.9000,136.3006,79.1107
640,64.0000,156.1481,67.2284
641,64.1000,169.6314,63.5857
642,64.2000,148.7162,70.3227
643,64.3000,176.5530,56.0031
644,64.4000,147.2807,62.5986
645,64.5000,150.1838,66.2290
646,64.6000,146.3067,56.7473
647,64.7000,140.5257,74.1579
648,64.8000,161.0632,60.2680
649,64.9000,170.2574,64.6439
650,65.0000,152.3730,54.7781
651,65.1000,149.8826,55.1615
652,65.2000,173.4814,57.0649
653,65.3000,159.9737,63.0806
654,65.4000,151.4906,64.3251
655,65.5000,159.5671,73.0571
656,65.6000,155.1559,59.5791
657,65.7000,167.7564,53.2249
658,65.8000,143.8554,74.6058
659,65.9000,172.6780,56.6587
660,66.0000,162.2171,61.6384
661,66.1000,149.1879,74.9567
662,66.2000,145.2088,72.2427
663,66.3000,159.5530,65.7509
664,66.4000,168.6022,56.8499
665,66.5000,140.8506,76.4611
666,66.6000,175.0193,55.5595
667,66.7000,147.8318,68.3485
668,66.8000,150.5008,73.0672
669,66.9000,172.0173,57.0684
670,67.0000,123.9814,77.7796
671,67.1000,155.9643,78.5329
672,67.2000,131.9815,73.3315
673,67.3000,147.7418,77.2307
674,67.4000,156.1098,68.0008
675,67.5000,162.9882,61.5919
676,67.6000,145.7078,76.9015
677,67.7000,173.9032,62.2255
678,67.8000,157.9084,70.6983
679,67.9000,145.1162,70.9603
680,68.0000,157.6156,55.1080
681,68.1000,137.5437,83.6555
682,68.2000,164.2282,65.8605
683,68.3000,165.8557,50.7748
684,68.4000,153.6456,75.3355
685,68.5000,174.8563,55.4254
686,68.6000,156.6697,61.9886
687,68.7000,133.1848,78.8443
688,68.8000,164.3092,65.7132
689,68.9000,156.8713,65.1919
690,69.0000,150.7717,62.7049
691,69.1000,170.9280,57.1604
