frame,time,cluster,rmsd_to_medoid
784,78.4000,1,0.2489
785,78.5000,1,0.1647
786,78.6000,1,0.2006
787,78.7000,1,0.1554
788,78.8000,1,0.1168
789,78.9000,1,0.1555
790,79.0000,1,0.1558
791,79.1000,1,0.0966
792,79.2000,1,0.2215
793,79.3000,1,0.2496
794,79.4000,1,0.1833
795,79.5000,1,0.1350
796,79.6000,1,0.1751
797,79.7000,1,0.2837
798,79.8000,1,0.2935
799,79.9000,1,0.2204
800,80.0000,1,0.2706
801,80.1000,1,0.1729
802,80.2000,1,0.2008
803,80.3000,1,0.2008
804,80.4000,1,0.2177
805,80.5000,1,0.2827
806,80.6000,1,0.2480
807,80.7000,1,0.2292
808,80.8000,1,0.1818
809,80.9000,1,0.0922
810,81.0000,1,0.2173
811,81.1000,1,0.2447
812,81.2000,1,0.1779
813,81.3000,1,0.1794
814,81.4000,1,0.2098
815,81.5000,1,0.1986
816,81.6000,1,0.2618
817,81.7000,1,0.3147
818,81.8000,1,0.1274
819,81.9000,1,0.2101
820,82.0000,1,0.1722
821,82.1000,1,0.1711
822,82.2000,1,0.2476
823,82.3000,1,0.1317
824,82.4000,1,0.1709
825,82.5000,1,0.1486
826,82.6000,1,0.2261
827,82.7000,1,0.2320
828,82.8000,1,0.1840
829,82.9000,1,0.1304
830,83.0000,1,0.1142
831,83.1000,2,0.3515
832,83.2000,1,0.1751
833,83.3000,1,0.1054
834,83.4000,1,0.1386
835,83.5000,1,0.2146
836,83.6000,1,0.1495
837,83.7000,1,0.3059
838,83.8000,1,0.1782
839,83.9000,1,0.2020
840,84.0000,1,0.2068
841,84.1000,1,0.1738
842,84.2000,1,0.2292
843,84.3000,1,0.1835
844,84.4000,1,0.1864
845,84.5000,1,0.3088
846,84.6000,1,0.2885
847,84.7000,1,0.1584
848,84.8000,1,0.1260
849,84.9000,1,0.1543
850,85.0000,1,0.1524
851,85.1000,2,0.2828
852,85.2000,1,0.2231
853,85.3000,1,0.2747
854,85.4000,1,0.2992
855,85.5000,1,0.3129
856,85.6000,1,0.2628
857,85.7000,1,0.2095
858,85.8000,1,0.3080
859,85.9000,1,0.2725
860,86.0000,1,0.2911
861,86.1000,1,0.3609
862,86.2000,1,0.3904
863,86.3000,1,0.2381
864,86.4000,1,0.2703
865,86.5000,1,0.2745
866,86.6000,1,0.2023
867,86.7000,1,0.1644
868,86.8000,1,0.2606
869,86.9000,1,0.2957
870,87.0000,1,0.3214
871,87.1000,1,0.2736
872,87.2000,1,0.2030
873,87.3000,1,0.1978
874,87.4000,1,0.2994
875,87.5000,1,0.3648
876,87.6000,1,0.3540
877,87.7000,1,0.2322
878,87.8000,1,0.2414
879,87.9000,1,0.1725
880,88.0000,1,0.2335
881,88.1000,1,0.2993
