d_saltbridge,d_OD1_water,density,free_energy
4.7229,2.9037,0.0000,
4.8459,2.9037,0.2245,2.1023
4.9690,2.9037,0.0000,
5.0920,2.9037,0.0000,
5.2151,2.9037,0.0000,
5.3382,2.9037,0.0000,
5.4612,2.9037,0.0000,
5.5843,2.9037,0.0000,
5.7073,2.9037,0.0000,
3.1231,2.9399,0.0000,
3.2462,2.9399,0.0000,
3.3692,2.9399,0.0000,
3.4923,2.9399,0.0000,
3.6153,2.9399,0.0000,
3.7384,2.9399,0.0000,
3.8614,2.9399,0.0000,
3.9845,2.9399,0.0000,
4.1076,2.9399,0.0000,
4.2306,2.9399,0.2245,2.1023
4.3537,2.9399,0.2245,2.1023
4.4767,2.9399,0.0000,
4.5998,2.9399,0.0000,
4.7229,2.9399,0.2245,2.1023
4.8459,2.9399,0.0000,
4.9690,2.9399,0.0000,
5.0920,2.9399,0.0000,
5.2151,2.9399,0.0000,
5.3382,2.9399,0.0000,
5.4612,2.9399,0.0000,
5.5843,2.9399,0.0000,
5.7073,2.9399,0.0000,
3.1231,2.9761,0.0000,
3.2462,2.9761,0.0000,
3.3692,2.9761,0.0000,
3.4923,2.9761,0.0000,
3.6153,2.9761,0.0000,
3.7384,2.9761,0.0000,
3.8614,2.9761,0.0000,
3.9845,2.9761,0.0000,
4.1076,2.9761,0.2245,2.1023
4.2306,2.9761,0.2245,2.1023
4.3537,2.9761,0.0000,
4.4767,2.9761,0.2245,2.1023
4.5998,2.9761,0.0000,
4.7229,2.9761,0.0000,
4.8459,2.9761,0.0000,
4.9690,2.9761,0.0000,
5.0920,2.9761,0.0000,
5.2151,2.9761,0.0000,
5.3382,2.9761,0.0000,
5.4612,2.9761,0.0000,
5.5843,2.9761,0.0000,
5.7073,2.9761,0.0000,
3.1231,3.0123,0.0000,
3.2462,3.0123,0.0000,
3.3692,3.0123,0.0000,
3.4923,3.0123,0.0000,
3.6153,3.0123,0.0000,
3.7384,3.0123,0.0000,
3.8614,3.0123,0.0000,
3.9845,3.0123,0.0000,
4.1076,3.0123,0.0000,
4.2306,3.0123,0.0000,
4.3537,3.0123,0.0000,
4.4767,3.0123,0.0000,
4.5998,3.0123,0.0000,
4.7229,3.0123,0.0000,
4.8459,3.0123,0.0000,
4.9690,3.0123,0.0000,
5.0920,3.0123,0.0000,
5.2151,3.0123,0.0000,
5.3382,3.0123,0.0000,
5.4612,3.0123,0.0000,
5.5843,3.0123,0.0000,
5.7073,3.0123,0.0000,
3.1231,3.0485,0.0000,
3.2462,3.0485,0.0000,
3.3692,3.0485,0.0000,
3.4923,3.0485,0.0000,
3.6153,3.0485,0.0000,
3.7384,3.0485,0.0000,
3.8614,3.0485,0.0000,
3.9845,3.0485,0.0000,
4.1076,3.0485,0.0000,
4.2306,3.0485,0.0000,
4.3537,3.0485,0.2245,2.1023
4.4767,3.0485,0.0000,
4.5998,3.0485,0.0000,
4.7229,3.0485,0.0000,
4.8459,3.0485,0.2245,2.1023
4.9690,3.0485,0.0000,
5.0920,3.0485,0.0000,
5.2151,3.0485,0.0000,
5.3382,3.0485,0.0000,
5.4612,3.0485,0.0000,
5.5843,3.0485,0.0000,
5.7073,3.0485,0.0000,
3.1231,3.0847,0.0000,
3.2462,3.0847,0.0000,
3.3692,3.0847,0.0000,
3.4923,3.0847,0.0000,
3.6153,3.0847,0.0000,
3.7384,3.0847,0.0000,
3.8614,3.0847,0.0000,
3.9845,3.0847,0.0000,
4.1076,3.0847,0.0000,
4.2306,3.0847,0.0000,
4.3537,3.0847,0.0000,
4.4767,3.0847,0.0000,
4.5998,3.0847,0.0000,
4.7229,3.0847,0.0000,
4.8459,3.0847,0.0000,
4.9690,3.0847,0.0000,
5.0920,3.0847,0.0000,
5.2151,3.0847,0.0000,
5.3382,3.0847,0.0000,
5.4612,3.0847,0.0000,
5.5843,3.0847,0.0000,
5.7073,3.0847,0.0000,
3.1231,3.1209,0.0000,
3.2462,3.1209,0.0000,
3.3692,3.1209,0.0000,
3.4923,3.1209,0.0000,
3.6153,3.1209,0.0000,
3.7384,3.1209,0.0000,
3.8614,3.1209,0.0000,
3.9845,3.1209,0.0000,
4.1076,3.1209,0.0000,
4.2306,3.1209,0.2245,2.1023
4.3537,3.1209,0.0000,
4.4767,3.1209,0.0000,
4.5998,3.1209,0.2245,2.1023
4.7229,3.1209,0.0000,
4.8459,3.1209,0.0000,
4.9690,3.1209,0.0000,
5.0920,3.1209,0.0000,
5.2151,3.1209,0.0000,
5.3382,3.1209,0.0000,
5.4612,3.1209,0.0000,
5.5843,3.1209,0.0000,
5.7073,3.1209,0.0000,
3.1231,3.1571,0.0000,
3.2462,3.1571,0.0000,
3.3692,3.1571,0.0000,
3.4923,3.1571,0.0000,
3.6153,3.1571,0.0000,
3.7384,3.1571,0.0000,
3.8614,3.1571,0.0000,
3.9845,3.1571,0.0000,
4.1076,3.1571,0.0000,
4.2306,3.1571,0.0000,
4.3537,3.1571,0.0000,
4.4767,3.1571,0.0000,
4.5998,3.1571,0.0000,
4.7229,3.1571,0.0000,
4.8459,3.1571,0.0000,
4.9690,3.1571,0.0000,
5.0920,3.1571,0.0000,
