d_D20OD1_R414HH12,d_D20OD2_R414HH22,density,free_energy
2.8815,3.0020,4.6698,0.2417
2.9246,3.0020,0.5837,1.4814
2.9677,3.0020,2.3349,0.6550
3.0107,3.0020,2.9186,0.5219
3.0538,3.0020,0.5837,1.4814
3.0968,3.0020,0.0000,
3.1399,3.0020,1.1674,1.0682
3.1830,3.0020,0.0000,
3.2260,3.0020,1.1674,1.0682
3.2691,3.0020,0.0000,
3.3122,3.0020,0.5837,1.4814
3.3552,3.0020,0.0000,
3.3983,3.0020,0.0000,
3.4414,3.0020,0.0000,
3.4844,3.0020,0.0000,
3.5275,3.0020,0.0000,
3.5706,3.0020,0.0000,
1.9771,3.0418,0.0000,
2.0202,3.0418,0.0000,
2.0633,3.0418,0.0000,
2.1063,3.0418,0.0000,
2.1494,3.0418,0.0000,
2.1925,3.0418,0.0000,
2.2355,3.0418,0.0000,
2.2786,3.0418,0.0000,
2.3217,3.0418,0.0000,
2.3647,3.0418,0.0000,
2.4078,3.0418,0.0000,
2.4509,3.0418,0.0000,
2.4939,3.0418,1.7512,0.8265
2.5370,3.0418,1.1674,1.0682
2.5801,3.0418,1.7512,0.8265
2.6231,3.0418,3.5023,0.4132
2.6662,3.0418,4.6698,0.2417
2.7093,3.0418,4.6698,0.2417
2.7523,3.0418,2.3349,0.6550
2.7954,3.0418,4.0861,0.3213
2.8385,3.0418,2.3349,0.6550
2.8815,3.0418,4.0861,0.3213
2.9246,3.0418,1.1674,1.0682
2.9677,3.0418,1.7512,0.8265
3.0107,3.0418,0.5837,1.4814
3.0538,3.0418,0.5837,1.4814
3.0968,3.0418,1.1674,1.0682
3.1399,3.0418,0.5837,1.4814
3.1830,3.0418,1.7512,0.8265
3.2260,3.0418,0.0000,
3.2691,3.0418,0.0000,
3.3122,3.0418,0.0000,
3.3552,3.0418,0.0000,
3.3983,3.0418,0.0000,
3.4414,3.0418,0.0000,
3.4844,3.0418,0.0000,
3.5275,3.0418,0.0000,
3.5706,3.0418,0.0000,
1.9771,3.0816,0.0000,
2.0202,3.0816,0.0000,
2.0633,3.0816,0.0000,
2.1063,3.0816,0.0000,
2.1494,3.0816,0.0000,
2.1925,3.0816,0.0000,
2.2355,3.0816,0.5837,1.4814
2.2786,3.0816,0.0000,
2.3217,3.0816,0.0000,
2.3647,3.0816,0.5837,1.4814
2.4078,3.0816,1.1674,1.0682
2.4509,3.0816,0.0000,
2.4939,3.0816,0.0000,
2.5370,3.0816,1.1674,1.0682
2.5801,3.0816,5.2535,0.1715
2.6231,3.0816,2.9186,0.5219
2.6662,3.0816,5.8372,0.1087
2.7093,3.0816,4.6698,0.2417
2.7523,3.0816,6.4209,0.0519
2.7954,3.0816,2.3349,0.6550
2.8385,3.0816,2.9186,0.5219
2.8815,3.0816,1.1674,1.0682
2.9246,3.0816,2.9186,0.5219
2.9677,3.0816,2.9186,0.5219
3.0107,3.0816,0.5837,1.4814
3.0538,3.0816,1.1674,1.0682
3.0968,3.0816,0.5837,1.4814
3.1399,3.0816,0.0000,
3.1830,3.0816,1.1674,1.0682
3.2260,3.0816,0.0000,
3.2691,3.0816,0.0000,
3.3122,3.0816,0.0000,
3.3552,3.0816,0.0000,
3.3983,3.0816,0.0000,
3.4414,3.0816,0.0000,
3.4844,3.0816,0.0000,
3.5275,3.0816,0.0000,
3.5706,3.0816,0.0000,
1.9771,3.1214,0.0000,
2.0202,3.1214,0.0000,
2.0633,3.1214,0.0000,
2.1063,3.1214,0.0000,
2.1494,3.1214,0.0000,
2.1925,3.1214,0.0000,
2.2355,3.1214,0.0000,
2.2786,3.1214,0.5837,1.4814
2.3217,3.1214,0.0000,
2.3647,3.1214,1.1674,1.0682
2.4078,3.1214,0.0000,
2.4509,3.1214,1.1674,1.0682
2.4939,3.1214,1.1674,1.0682
2.5370,3.1214,1.1674,1.0682
2.5801,3.1214,2.3349,0.6550
2.6231,3.1214,5.2535,0.1715
2.6662,3.1214,1.7512,0.8265
2.7093,3.1214,3.5023,0.4132
2.7523,3.1214,4.0861,0.3213
2.7954,3.1214,7.0047,-0.0000
2.8385,3.1214,0.5837,1.4814
2.8815,3.1214,1.1674,1.0682
2.9246,3.1214,2.3349,0.6550
2.9677,3.1214,1.1674,1.0682
3.0107,3.1214,1.7512,0.8265
3.0538,3.1214,0.5837,1.4814
3.0968,3.1214,0.5837,1.4814
3.1399,3.1214,0.0000,
3.1830,3.1214,0.0000,
3.2260,3.1214,0.0000,
3.2691,3.1214,0.0000,
3.3122,3.1214,0.0000,
3.3552,3.1214,0.0000,
3.3983,3.1214,0.0000,
3.4414,3.1214,0.0000,
3.4844,3.1214,0.0000,
3.5275,3.1214,0.0000,
3.5706,3.1214,0.0000,
1.9771,3.1612,0.0000,
2.0202,3.1612,0.0000,
2.0633,3.1612,0.0000,
2.1063,3.1612,0.0000,
2.1494,3.1612,0.0000,
2.1925,3.1612,0.0000,
2.2355,3.1612,0.0000,
2.2786,3.1612,0.0000,
2.3217,3.1612,1.1674,1.0682
2.3647,3.1612,0.5837,1.4814
